category_name,views
Music,6201003.119592089
Film & Animation,3106250.2008528784
Nonprofits & Activism,2963884.0701754387
Gaming,2620830.630354957
Entertainment,2067883.1990164593
Sports,2025969.0308187671
People & Blogs,1531835.428660436
Comedy,1480308.420017356
Science & Technology,1452626.7455226989
Autos & Vehicles,1355965.4088541667
